CommonName,CY92PPTX.1,CVVU52A9.1,CSWEE3DX.1,CNTLVPX4.1,CNR7WZYJ.1,CDWD42KP.1,CA66THTZ.1,C4SUMTFY.1,4JKGTSJ5.1
Cryptophytes,1.8391,3.8293,2.2237,3.7403,20.4569,2.4841,24.2834,3.8866,39.9404
Synura (Colonial Synurophyte),6.6493,0.0,0.0,74.4492,15.6587,0.2311,0.8536,0.0513,0.0
Pennate Diatoms,8.7433,2.4684,35.4251,1.8825,22.129,8.1427,0.9695,6.5516,0.0
Diatoms (unclassified),6.9267,7.6016,13.9468,0.2887,1.573,23.0791,12.4034,17.676,0.0337
Cryptomonas (Cryptophyte),2.6362,26.1132,0.0,0.8561,2.5082,21.9873,3.5162,7.5966,0.0
Halamphora coffeaeformis (Halamphora Diatom),10.9523,5.0877,6.4979,1.0708,14.8764,4.9393,3.9378,5.3871,0.0
Charophytes (Stoneworts),0.0,0.0,0.0,0.0,0.0,3.2496,0.0,35.0104,0.0
Teleaulax amphioxeia (Teleaulax (Cryptophyte)),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1173
Eukaryota (unclassified),8.4785,7.986,0.7064,3.1285,1.8309,0.6239,3.8324,1.6685,0.0
Cryptomonas obovoidea (Cryptomonas (Cryptophyte)),4.0406,8.7205,0.0742,3.0396,0.3089,2.8018,0.9238,3.5904,0.0
Mallomonas (Scaled Synurophyte),1.9816,9.6686,4.3072,0.5897,1.1478,0.4968,2.9682,0.8314,0.0
Chromulina 17.97 (Chromulina (Chrysophyte)),2.9611,4.6265,1.5255,1.2361,8.0121,0.465,1.9671,0.783,0.0
Unresolved Taxon,5.9172,0.0,0.8109,1.1744,0.2607,7.0508,0.815,2.2152,0.8833
Carteria (Green Algae),0.1224,0.0,17.38,0.0,0.0,0.0,0.0246,0.0,0.0
Monomastix (Mamiellophyte),7.6913,5.3639,0.0,1.9812,0.3231,0.1589,1.6299,0.3189,0.0466
Cyanobacteria,1.4918,0.0285,0.0,0.0,0.0,0.1704,6.5196,1.2984,7.8928
Synurophytes (Golden-Brown Algae),4.3929,1.8164,0.3518,1.51,1.2073,1.0312,2.3676,0.1281,0.0
Halamphora Diatom,0.2374,0.373,3.4606,0.3306,4.8379,2.9376,0.0,0.5922,0.0
Centric Diatoms,0.0,0.0,0.0,0.0,0.0,0.621,10.7173,0.3104,0.0
Aquatic Flowering Plants,0.0,2.6193,0.1567,0.0,0.0,5.3611,0.0,3.1975,0.0
Araphid Diatoms,1.9441,2.2776,0.0,1.6827,0.4563,0.4448,4.4611,0.0,0.0
Ulnaria (Araphid Diatoms),8.0337,0.5039,0.0,0.1653,0.0,0.7077,1.8301,0.0,0.0
Chroomonas (Cryptophyte),1.6542,0.3075,0.0,0.7821,0.0,2.617,0.4742,2.0814,0.0
Silicoflagellates / Dictyochophytes,1.137,2.6051,0.0,0.0,0.0,0.4217,1.7353,1.0763,0.0
Pseudopedinella elastica (Pseudopedinella (Dictyochophyte)),0.9246,1.6086,0.0,0.0,0.0,0.2137,3.8043,0.2079,0.0
Green Algae,0.1025,1.6114,0.9785,0.2615,3.3358,0.1155,0.0,0.2876,0.0
Synechococcus CBW1004 (Synechococcus (Picocyanobacterium)),0.2674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3204
Chlamydomonas nivalis (Chlamydomonas (Green Alga)),0.0,0.0,5.9234,0.0,0.4195,0.0,0.0,0.0,0.0
Geminigera cryophila (Geminigera (Cryptophyte)),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.406
Euglena Jilnal030207I (Euglena (Euglenoid)),0.1724,0.0,3.4853,0.0962,0.1445,0.2282,0.0,0.0,0.0
Chrysochromulina (Haptophyte),0.1474,0.0,0.0,0.0,0.0,0.0,3.8921,0.0,0.0
Cyanobium (Picocyanobacterium),0.5697,0.0,0.0,0.0,0.0,0.0,0.8852,0.0,2.5696
